security,X_0,X_1,y,w,b,s
security_10,39841.94331354284,11108.909212599696,1.0,1.0,0.0,438621.6015496343
security_7,4350.309492528218,3345.9394289623992,1.0,1.0,0.0,36458.361645424426
security_11,0.0,3969.656684580323,1.0,1.0,97239.36443186352,0.0
security_26,1634.4582779900124,841.32813082804,1.0,1.0,0.0,97493.19705743867
security_21,1837.459489065308,1326.4875183884042,1.0,1.0,0.0,42719.68693639146
security_28,1736.744186931201,1377.7748535674075,1.0,1.0,0.0,22683.884282585983
security_19,0.0,6038.509629178047,1.0,1.0,64311.86295802854,0.0
security_14,3353.363567242265,3257.651932840746,1.0,1.0,0.0,2004.7342787555672
security_15,941.2950364653984,193.144495467741,1.0,1.0,0.0,155376.35631213532
security_29,29372.52760493883,5832.582347779007,1.0,1.0,0.0,167138.12134394655
security_23,5917.700412126777,595.4943602757331,1.0,1.0,0.0,260269.5518761869
security_8,7172.970197057547,2242.9200325977945,1.0,1.0,0.0,67383.27892385532
security_17,8786.105421074508,1214.1392025572786,1.0,1.0,0.0,69756.7281116176
security_25,2901.2518245649967,0.0,0.0,1.0,0.0,102997.21908426777
security_31,6543.1484267343985,1076.0071121171668,1.0,1.0,0.0,128583.79951438932
security_12,3168.5325043169005,0.0,0.0,1.0,0.0,144825.6467800545
