security,X_0,X_1,y,w,b,s
security_10,39841.94331354284,11090.680763580001,1.0,1.0,0.0,438899.8663327649
security_7,4350.309492528218,3620.4197249684394,1.0,1.0,0.0,26494.80114183564
security_11,4790.519380489517,4844.4638463359415,1.0,1.0,1321.4053482000925,0.0
security_26,1634.4582779900124,735.238538196889,1.0,1.0,0.0,110533.94906660414
security_21,1837.459489065308,1443.7255588886082,1.0,1.0,0.0,32918.0291652814
security_28,1736.744186931201,1223.6071619427187,1.0,1.0,0.0,32426.003600014476
security_19,12194.049344794194,6229.2433722668975,1.0,1.0,0.0,63526.89783300416
security_14,3353.363567242265,2470.1473103834423,1.0,1.0,0.0,18499.4636937364
security_15,941.2950364653984,209.86031977527588,1.0,1.0,0.0,151904.80382191704
security_29,29372.52760493883,5066.587895054756,1.0,1.0,0.0,172576.82871516593
security_23,5917.700412126777,628.1144861947654,1.0,1.0,0.0,258674.34389807069
security_8,7172.970197057547,1970.6487281215816,1.0,1.0,0.0,71104.64739688649
security_17,8786.105421074508,1443.3467276750926,1.0,1.0,0.0,67645.15410965234
security_25,2901.2518245649967,665.3078191955084,1.0,1.0,0.0,79378.15415789567
