Symbol,Company name,Last price,Change,% change,Volume
2018.HK,AAC Technologies Holdings Inc.,43.25,-0.05,-0.12%,"6,449,636"
1810.HK,Xiaomi Corporation,32.95,0.15,0.0046,"152,925,324"
0012.HK,Henderson Land Development Company Limited,30.35,0.15,0.005,"1,834,697"
0017.HK,New World Development Company Limited,36.3,0.2,0.0055,"3,831,084"
0386.HK,China Petroleum & Chemical Corporation,3.52,0.02,0.0057,"172,599,974"
1398.HK,Industrial and Commercial Bank of China Limited,4.93,0.03,0.0061,"377,977,616"
2388.HK,BOC Hong Kong (Holdings) Limited,23.9,0.15,0.0063,"4,543,145"
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",94.05,0.65,0.007,"19,793,401"
1044.HK,Hengan International Group Company Limited,54.55,0.4,0.0074,"4,055,192"
1093.HK,CSPC Pharmaceutical Group Limited,7.89,0.06,0.0077,"75,591,935"
2628.HK,China Life Insurance Company Limited,17.06,0.14,0.0083,"31,117,210"
0016.HK,Sun Hung Kai Properties Limited,99.35,1,0.0102,"5,164,941"
0002.HK,CLP Holdings Limited,72.45,0.75,0.0105,"3,396,159"
1038.HK,CK Infrastructure Holdings Limited,41.25,0.55,0.0135,"1,209,150"
0006.HK,Power Assets Holdings Limited,42,0.6,0.0145,"2,587,108"
0267.HK,CITIC Limited,5.44,0.08,0.0149,"22,708,699"
0003.HK,The Hong Kong and China Gas Company Limited,11.64,0.2,0.0175,"17,138,625"
0101.HK,Hang Lung Properties Limited,20.15,0.41,0.0208,"3,099,491"
1299.HK,AIA Group Limited,96.3,2.1,0.0223,"14,337,748"
1997.HK,Wharf Real Estate Investment Company Limited,40.15,0.9,0.0229,"2,909,494"
0883.HK,CNOOC Limited,7.21,-0.17,-2.30%,"382,366,121"
1928.HK,Sands China Ltd.,34.2,0.8,0.024,"5,380,390"
0027.HK,Galaxy Entertainment Group Limited,59.7,1.4,0.024,"5,395,237"
1109.HK,China Resources Land Limited,31.75,1.1,0.0359,"11,344,297"
2020.HK,ANTA Sports Products Limited,123.2,4.6,0.0388,"4,701,900"
0669.HK,Techtronic Industries Company Limited,113.4,4.7,0.0432,"1,997,767"
2319.HK,China Mengniu Dairy Company Limited,46.75,2.05,0.0459,"10,768,468"
3690.HK,Meituan,287.8,14.4,0.0527,"24,274,147"
2269.HK,WuXi Biologics (Cayman) Inc.,99.35,5,0.053,"8,916,699"
9988.HK,Alibaba Group Holding Limited,236.2,14.2,0.064,"40,430,776"
