,name,symbol
1,Cheung Kong (Holdings) Limited,0001.HK
2,CLP Holdings Ltd.,0002.HK
3,The Hong Kong and China Gas Company Limited,0003.HK
4,The Wharf (Holdings) Limited,0004.HK
5,HSBC Holdings plc,0005.HK
6,Power Assets Holdings Limited,0006.HK
7,Hang Seng Bank Limited,0011.HK
8,Henderson Land Development Co. Ltd.,0012.HK
9,Hutchison Whampoa Limited,0013.HK
10,Sun Hung Kai Properties Limited,0016.HK
11,New World Development Company Limited,0017.HK
12,Swire Pacific Limited,0019.HK
13,"The Bank of East Asia, Limited",0023.HK
14,Galaxy Entertainment Group Limited,0027.HK
15,MTR Corporation Limited,0066.HK
16,Sino Land Company Limited,0083.HK
17,HANG LUNG PPT,0101.HK
18,Kunlun Energy Company Limited,0135.HK
19,China Merchants Holdings (International) Company Limited,0144.HK
20,Want Want China Holdings Ltd.,0151.HK
21,CITIC Limited,0267.HK
22,China Resources Enterprise Ltd.,0291.HK
23,Cathay Pacific Airways Limited,0293.HK
24,Tingyi Cayman Islands Holding Corp.,0322.HK
25,China Petroleum & Chemical Corp.,0386.HK
26,Hong Kong Exchanges & Clearing Limited,0388.HK
27,Li & Fung Limited,0494.HK
28,China Overseas Land & Investment Ltd.,0688.HK
29,Tencent Holdings Ltd.,0700.HK
30,China Unicom (Hong Kong) Limited,0762.HK
31,Link Real Estate Investment Trust,0823.HK
32,China Resources Power Holdings Co. Ltd.,0836.HK
33,PetroChina Co. Ltd.,0857.HK
34,CNOOC Ltd.,0883.HK
35,China Construction Bank Corporation,0939.HK
36,China Mobile Limited,0941.HK
37,Lenovo Group Limited,0992.HK
38,Hengan International Group Company Limited,1044.HK
39,China Shenhua Energy Co. Ltd.,1088.HK
40,China Resources Land Limited,1109.HK
