index,security_1,security_2,security_3,security_4,security_5,security_6,security_7,security_8,security_9,security_10,security_11,security_12,security_13,security_14,security_15,security_16,security_17,security_18,security_19,security_20,security_21,security_22,security_23,security_24,security_25,security_26,security_27,security_28,security_29,security_30,security_31
8749.31759356,9.33675195,14.37788798,7.36644878,29.46579511,5.55589992,8.55573087,16.41919306,9.95801871,5.85765806,1.79279838,14.91040235,22.54310831,26.44821368,21.30057478,75.88329765,3.23058717,8.12971937,49.70134115,5.85765806,16.95170743,38.87354897,29.28829032,12.07032571,17.3954694,24.61991435,43.70167926,44.21644315,41.1278598,2.43181562,29.11078553,10.91654457
8713.53262793,9.86926631,14.18263271,7.40194974,27.33573763,5.44939705,8.50247943,16.41919306,9.28350051,6.2481686,1.81054886,14.99915474,23.60813705,25.73819453,20.9455652,75.43953568,3.30158909,8.07646794,49.34633157,5.76890567,16.41919306,37.27600586,28.93328074,12.07032571,17.57297419,24.85067058,44.78445847,43.73718021,41.41186747,2.34306323,27.868252,11.27155415
9001.60515134,9.95801871,14.59089372,7.77470979,28.75577595,5.80440663,8.73323566,16.59669785,8.85748901,6.51442579,1.88155077,14.99915474,24.495661,26.80322326,22.36560352,80.3209174,3.5500958,8.25397273,51.12137947,6.01741238,16.41919306,39.05105376,28.57827116,12.78034487,17.75047898,26.39496225,47.78428942,44.69570608,43.18691537,2.30756227,29.28829032,11.62656373
8903.30299873,9.15924716,15.74467486,7.63270596,28.75577595,5.50264848,8.85748901,16.59669785,8.76873662,6.30142004,2.07680604,14.99915474,24.495661,26.0932041,21.12306999,73.2207258,4.11811112,8.16522033,49.34633157,6.01741238,16.50794545,41.18111124,27.868252,12.60284008,18.99301251,26.62571847,48.88481912,43.89693452,45.84948721,3.81635298,28.40076637,11.36030655
8888.69435453,9.24799955,16.29493971,7.49070213,27.868252,5.50264848,9.21249859,16.77420264,8.87523949,6.30142004,1.97030317,15.08790714,23.96314663,26.44821368,20.9455652,71.44567791,4.11811112,8.12971937,50.5888651,5.89315902,16.50794545,39.40606334,28.93328074,13.49036403,18.63800293,25.73819453,49.96759834,43.89693452,45.49447763,3.67434915,28.57827116,11.36030655
8727.37800153,8.98174237,15.6204215,7.54395357,26.62571847,5.44939705,9.15924716,16.50794545,8.6977347,6.39017243,1.89930125,14.91040235,23.78564184,26.27070889,20.76806041,68.33934408,4.43761975,8.07646794,50.76636989,5.76890567,16.86295503,37.27600586,28.22326158,13.13535445,17.92798377,25.06367632,50.251606,43.08041249,45.84948721,4.08261017,28.93328074,11.18280176
8735.20596277,9.07049476,15.74467486,7.66820692,26.98072805,5.32514369,9.05274428,15.79792629,8.43147752,6.21266764,1.88155077,14.91040235,23.60813705,26.0932041,20.76806041,69.67063001,4.38436831,8.25397273,51.12137947,5.68015327,16.50794545,37.45351065,28.22326158,12.86909726,18.28299335,24.17615237,50.51786319,43.2401668,46.59500733,4.11811112,28.75577595,10.73903978
9022.01820217,8.73323566,16.98720839,8.0232165,27.51324242,5.32514369,8.76873662,16.50794545,8.66223374,6.39017243,1.84604981,15.17665953,24.31815621,26.62571847,20.59055562,73.66448778,5.14763891,8.82198805,52.18640821,6.17716669,16.50794545,36.92099628,28.75577595,13.84537361,18.63800293,24.61991435,57.68905669,45.17496901,48.44105714,4.4731207,29.82080469,11.18280176
9461.30705604,9.24799955,18.97526203,8.66223374,29.11078553,5.62690184,9.56750817,17.3954694,9.14149668,6.39017243,1.82829934,16.59669785,25.02817537,29.46579511,21.12306999,72.77696383,4.88138172,8.73323566,55.47024682,7.06469064,17.3954694,39.58356813,30.53082385,14.91040235,19.88053646,26.62571847,58.0263158,46.7902626,50.65986702,4.4731207,31.06333822,11.44905894
9734.73543429,9.33675195,18.76225628,9.40775386,30.88583343,5.71565423,9.709512,18.28299335,9.14149668,6.69193058,2.27206131,16.50794545,26.44821368,31.06333822,21.12306999,73.66448778,5.00563507,9.21249859,56.80153275,7.18894399,17.92798377,41.53612082,29.99830948,14.46664037,20.76806041,27.2824862,59.05584358,50.42911079,49.55933732,4.43761975,33.1933957,11.98157331
9954.80587273,10.93429505,18.90426012,9.23024907,32.30587175,6.12391525,9.78051392,20.05804125,9.67401105,6.74518201,2.20105939,17.57297419,26.27070889,31.59585259,22.54310831,77.21458358,5.11213795,8.96399189,60.35162854,8.23622225,18.99301251,42.42364477,29.99830948,14.37788798,20.23554604,28.84452835,59.05584358,48.8138172,49.55933732,4.61512454,32.66088133,12.07032571
10125.76073581,10.93429505,18.97526203,9.85151584,31.24084301,6.336921,9.47875578,21.83308915,9.58525865,7.04694016,2.23656035,17.66172659,27.868252,31.77335738,22.54310831,78.5458695,5.44939705,9.72726248,59.02034262,8.39597656,18.99301251,42.42364477,31.95086217,14.37788798,20.41305083,31.06333822,59.05584358,49.61258876,50.28710696,4.43761975,33.1933957,13.31285924
10401.21266867,10.93429505,20.12904317,9.76276344,31.4183478,6.78068297,9.99351967,23.96314663,10.56153499,7.13569255,2.30756227,17.92798377,30.17581427,32.83838612,24.31815621,78.5458695,5.80440663,10.40178068,61.68291447,9.28350051,19.88053646,42.60114956,32.83838612,14.20038319,20.76806041,32.60762989,60.75988956,51.22788234,51.03262708,4.29561591,33.72591007,14.64414516
10792.5574788,11.37805703,22.08159585,9.94026823,35.32345318,7.45520117,9.78051392,24.495661,11.27155415,7.04694016,2.69807281,17.30671701,31.95086217,32.48337654,22.89811789,84.75853714,5.71565423,10.22427589,64.78924829,9.67401105,22.18809873,47.39377888,32.66088133,14.82164995,22.89811789,35.05719599,62.12667644,54.0502085,51.03262708,4.34886735,34.08091965,15.08790714
10713.83410451,12.07032571,22.25910064,9.67401105,34.43592923,7.33094782,9.78051392,24.67316579,10.91654457,7.22444495,2.71582328,16.24168827,31.95086217,32.66088133,22.7206131,85.64606109,5.85765806,9.97576919,62.12667644,9.51425673,22.01059394,47.0387693,34.43592923,15.08790714,22.89811789,33.72591007,62.46393554,53.65969797,52.15090725,4.38436831,34.9684436,14.73289756
10329.12797352,11.44905894,21.92184154,9.67401105,32.66088133,7.22444495,9.40775386,23.43063226,10.73903978,6.78068297,2.48506706,15.7091739,31.06333822,31.24084301,21.12306999,78.5458695,5.71565423,9.72726248,59.02034262,8.7864871,20.76806041,45.08621662,33.72591007,16.33044066,22.7206131,31.72010594,60.75988956,51.63614336,51.03262708,4.11811112,33.72591007,14.55539277
10273.26721616,11.37805703,22.25910064,9.31900147,31.59585259,7.27769638,9.40775386,23.07562268,10.4727826,6.83393441,2.37856418,15.08790714,30.35331906,31.06333822,20.9455652,80.76467937,5.80440663,10.1355235,61.23915249,8.62673279,19.88053646,44.19869267,32.48337654,15.97543108,22.36560352,33.05139187,62.46393554,53.25143695,49.93209738,4.91688268,33.90341486,14.46664037
10851.04530705,11.53781134,24.31815621,9.94026823,32.83838612,7.54395357,9.709512,25.56068974,11.00529697,7.36644878,2.50281754,15.79792629,31.59585259,33.72591007,22.01059394,85.20229912,6.21266764,9.88701679,65.23301026,9.76276344,21.65558436,47.39377888,34.43592923,16.15293587,23.60813705,35.50095797,68.26834217,57.28079568,51.03262708,5.11213795,34.9684436,15.53166911
10760.07410226,11.11179984,26.02220219,9.85151584,31.77335738,7.36644878,9.56750817,24.85067058,10.65028739,7.63270596,2.4495661,15.6204215,30.70832864,33.54840528,20.9455652,88.75239491,6.74518201,9.97576919,65.23301026,9.35450242,20.9455652,45.79623578,34.79093881,16.24168827,23.78564184,32.60762989,71.67643413,54.86673054,51.03262708,5.85765806,33.90341486,14.99915474
10617.20049693,10.93429505,25.68494309,9.58525865,30.88583343,7.27769638,9.47875578,24.85067058,10.82779218,7.27769638,2.39631466,16.06418348,30.70832864,31.59585259,21.12306999,86.97734702,6.74518201,9.7982644,63.01420039,9.19474811,20.41305083,44.55370225,34.08091965,17.3954694,23.60813705,32.83838612,68.26834217,54.0502085,49.93209738,6.03516285,33.54840528,14.91040235
10877.60002361,11.02304745,26.35946129,9.76276344,31.06333822,7.18894399,9.78051392,24.495661,10.65028739,7.54395357,2.50281754,16.06418348,30.70832864,31.4183478,22.18809873,94.96506256,6.44342387,9.7982644,64.34548631,9.85151584,20.41305083,45.26372141,34.61343402,17.75047898,24.31815621,33.72591007,71.67643413,54.0502085,50.65986702,6.07066381,33.72591007,14.64414516
10246.92550535,10.31302829,24.14065142,9.31900147,28.40076637,6.74518201,9.33675195,23.78564184,10.02902063,7.36644878,2.30756227,15.17665953,29.11078553,30.17581427,21.12306999,92.30249071,5.76890567,8.6977347,57.24529472,9.0349938,18.63800293,43.13366393,32.48337654,16.68545024,22.54310831,31.50710019,71.00191593,48.40555619,46.96776739,5.36064465,31.77335738,13.57911642
10439.28744609,10.0467711,24.47791052,9.31900147,28.93328074,6.69193058,9.85151584,22.89811789,10.38403021,7.27769638,2.23656035,15.44291672,29.11078553,30.35331906,21.83308915,95.85258651,6.12391525,8.96399189,59.90786657,9.35450242,18.46049814,43.48867351,32.48337654,17.4842218,23.60813705,31.50710019,73.04322101,50.02084977,47.34052745,5.62690184,30.35331906,13.84537361
10385.68099956,10.0467711,23.96314663,9.49650626,28.22326158,6.69193058,9.63851009,22.18809873,10.65028739,7.45520117,2.20105939,15.7091739,27.868252,28.93328074,21.30057478,94.07753861,6.03516285,8.6977347,62.57043841,9.28350051,18.46049814,42.06863519,32.12836696,16.33044066,23.43063226,33.28214809,75.77679478,50.02084977,48.06829709,5.89315902,29.82080469,14.37788798
10335.37614212,10.31302829,24.31815621,9.49650626,28.04575679,6.74518201,9.40775386,22.36560352,10.38403021,7.57945453,2.27206131,16.15293587,27.51324242,28.93328074,20.76806041,94.96506256,5.89315902,9.21249859,61.68291447,9.0349938,18.46049814,42.06863519,31.24084301,16.41919306,22.89811789,33.49515384,73.7354897,49.22207822,48.06829709,6.39017243,30.35331906,14.11163079
9779.43114037,9.51425673,23.28862843,8.66223374,27.15823284,6.336921,9.33675195,20.59055562,10.02902063,7.22444495,2.09455652,15.44291672,26.27070889,26.0932041,19.1705173,89.63991886,5.50264848,8.7864871,56.35777077,8.71548518,17.66172659,38.69604418,29.82080469,16.06418348,22.18809873,29.96280852,70.32739773,47.60678463,46.96776739,6.336921,28.75577595,13.49036403
9991.03460033,9.69176152,23.11112364,9.05274428,27.69074721,6.2481686,9.40775386,20.76806041,10.11777302,7.10019159,2.27206131,15.53166911,26.27070889,27.69074721,18.63800293,96.74011046,5.50264848,9.1237462,59.46410459,8.7864871,17.3954694,39.22855855,30.17581427,15.97543108,22.18809873,32.1816184,69.63512905,47.76653894,47.34052745,6.15941621,29.11078553,13.49036403
10131.10362998,9.78051392,23.80339232,9.05274428,27.868252,6.21266764,9.709512,22.54310831,10.11777302,7.0114392,2.23656035,15.44291672,26.80322326,28.57827116,19.52552688,98.51515836,5.62690184,8.96399189,62.12667644,8.71548518,17.75047898,39.76107292,29.99830948,16.24168827,22.01059394,32.39462414,71.00191593,50.02084977,46.59500733,6.07066381,28.93328074,13.40161163
9828.95497674,9.60300913,23.28862843,9.05274428,26.80322326,6.03516285,9.40775386,22.01059394,10.20652542,6.9226868,2.13005748,15.08790714,26.80322326,26.80322326,18.81550772,94.96506256,5.36064465,8.53798039,59.90786657,8.55573087,17.4842218,39.05105376,28.93328074,16.15293587,21.83308915,29.96280852,68.96061085,48.08604756,45.49447763,6.12391525,27.868252,13.40161163
10098.81550871,10.75679026,23.44838274,9.23024907,27.868252,6.12391525,9.63851009,23.78564184,10.73903978,7.13569255,2.18330891,15.26541193,28.93328074,29.46579511,19.34802209,96.74011046,5.14763891,9.21249859,64.34548631,8.62673279,17.66172659,38.87354897,28.93328074,15.26541193,22.01059394,31.06333822,69.63512905,49.22207822,46.59500733,5.89315902,28.22326158,13.75662121
10093.20635736,10.93429505,23.62588753,8.82198805,27.33573763,6.12391525,9.56750817,23.78564184,11.09404936,7.36644878,2.16555844,14.91040235,28.57827116,29.82080469,19.34802209,98.51515836,5.18313986,9.4610053,64.34548631,8.87523949,18.28299335,37.63101544,29.11078553,16.41919306,22.7206131,32.60762989,68.96061085,49.22207822,47.34052745,5.68015327,28.04575679,14.11163079
9932.17401202,10.49053308,23.44838274,8.7864871,26.44821368,5.80440663,9.33675195,23.96314663,11.18280176,7.45520117,2.112307,14.64414516,28.40076637,29.82080469,18.81550772,98.51515836,4.34886735,9.39000338,64.78924829,8.46697847,18.46049814,36.74349149,27.33573763,16.59669785,22.18809873,30.83258199,68.26834217,50.42911079,47.34052745,5.50264848,28.04575679,13.22410684
9934.42832285,10.57928547,23.96314663,8.66223374,26.44821368,6.07066381,9.19474811,23.78564184,11.89282092,7.10019159,2.09455652,14.28913558,28.57827116,29.6432999,18.81550772,96.74011046,5.00563507,9.30125099,63.45796236,8.7864871,19.34802209,36.5659867,27.69074721,16.59669785,22.01059394,31.50710019,67.23881439,52.04440438,49.55933732,5.76890567,27.868252,13.66786882
10624.24743709,11.28930463,25.1701792,8.7864871,27.51324242,6.69193058,10.34852925,25.20568016,12.51408768,7.36644878,2.112307,15.7091739,31.06333822,32.12836696,19.34802209,102.9527781,5.2363913,9.63851009,67.45182014,9.0349938,20.23554604,38.69604418,29.99830948,17.04045982,23.78564184,33.28214809,72.36870281,54.45846952,53.25143695,5.9996619,30.53082385,14.55539277
11116.30846497,11.37805703,25.68494309,9.40775386,31.24084301,6.95818776,10.84554266,26.27070889,13.13535445,7.36644878,2.37856418,16.24168827,31.24084301,32.48337654,20.41305083,110.05296969,5.44939705,10.31302829,65.23301026,9.60300913,21.47807957,42.60114956,30.88583343,17.57297419,24.14065142,34.82643976,74.4100079,57.68905669,53.25143695,6.336921,32.30587175,14.99915474
10988.77127348,10.93429505,24.65541531,8.96399189,29.46579511,6.95818776,11.20055224,27.33573763,13.04660205,7.33094782,2.20105939,16.06418348,31.24084301,32.66088133,19.70303167,110.94049364,4.88138172,10.4727826,66.56429619,9.35450242,21.30057478,40.82610166,30.70832864,17.66172659,23.60813705,33.72591007,73.04322101,55.27499155,53.99695707,6.336921,32.30587175,15.08790714
11209.4452282,11.37805703,24.8329201,8.73323566,28.57827116,7.04694016,11.83956948,26.80322326,12.86909726,7.33094782,2.27206131,17.04045982,31.77335738,34.08091965,19.88053646,116.26563734,5.2363913,10.82779218,65.67677224,9.51425673,20.76806041,40.47109208,31.59585259,18.10548856,24.67316579,33.93891582,76.46906346,56.07376311,52.15090725,6.95818776,32.83838612,15.35416432
11300.94894735,12.1590781,24.8329201,8.7864871,29.82080469,6.95818776,11.76856757,26.98072805,13.04660205,7.36644878,2.27206131,17.3954694,32.30587175,34.61343402,19.70303167,116.26563734,5.00563507,10.98754649,64.34548631,9.28350051,20.59055562,40.64859687,31.06333822,21.30057478,24.85067058,35.27020174,79.20263722,54.86673054,53.25143695,6.65642962,32.66088133,15.53166911
10434.05105479,10.93429505,22.77386454,7.98771554,27.868252,6.51442579,10.84554266,25.38318495,11.62656373,7.40194974,2.07680604,16.68545024,30.35331906,31.06333822,18.10548856,108.2779218,4.66837597,9.7982644,58.13281867,8.23622225,18.28299335,36.92099628,28.75577595,19.34802209,22.89811789,30.38882002,73.04322101,50.02084977,48.44105714,6.07066381,29.82080469,14.46664037
10626.62600127,11.28930463,24.14065142,8.34272512,28.75577595,6.78068297,11.20055224,25.20568016,12.1590781,7.22444495,2.16555844,17.30671701,30.53082385,32.48337654,17.92798377,106.5028739,4.66837597,10.1355235,57.24529472,8.39597656,18.46049814,37.63101544,29.99830948,20.41305083,24.31815621,32.1816184,75.10227658,50.42911079,49.93209738,6.21266764,29.99830948,14.55539277
9351.12983299,9.33675195,20.41305083,7.27769638,25.38318495,5.68015327,10.06452158,22.01059394,11.09404936,7.10019159,1.86380029,15.44291672,25.73819453,28.93328074,15.7091739,97.62763441,3.72760059,9.4610053,49.52383636,6.53217627,15.53166911,33.01589091,26.27070889,18.99301251,22.18809873,28.17001015,64.8602502,44.69570608,44.74895752,5.36064465,25.02817537,11.71531613
9324.64611835,8.82198805,20.71480897,7.18894399,25.20568016,5.94641046,10.27752733,22.01059394,10.29527781,6.74518201,1.86380029,15.97543108,26.27070889,27.15823284,16.50794545,97.62763441,3.67434915,8.96399189,49.87884594,6.37242195,14.99915474,31.95086217,26.98072805,19.88053646,21.83308915,26.83872422,65.1975093,42.12188663,44.74895752,5.11213795,23.96314663,11.53781134
