index,security_1,security_2,security_3,security_4,security_5,security_6,security_7,security_8,security_9,security_10,security_11,security_12,security_13,security_14,security_15,security_16,security_17,security_18,security_19,security_20,security_21,security_22,security_23,security_24,security_25,security_26,security_27,security_28,security_29,security_30,security_31,security_32,security_33,security_34,security_35,security_36,security_37,security_38,security_39,security_40,security_41,security_42,security_43,security_44,security_45,security_46,security_47,security_48,security_49,security_50,security_51,security_52,security_53,security_54,security_55,security_56,security_57,security_58,security_59,security_60,security_61,security_62,security_63,security_64,security_65,security_66,security_67,security_68,security_69,security_70,security_71,security_72,security_73,security_74,security_75,security_76,security_77,security_78,security_79,security_80,security_81,security_82,security_83,security_84,security_85
1518.02883228,163.49093961,190.56969479,48.53807762,122.48181071,1973.16651255,131.97483301,74.58023841,520.49768438,663.32947968,189.46035694,158.03517967,440.0979687,40.55448224,1431.82782518,125.02783202,599.22430035,71.67049978,141.04958038,54.2484397,110.9337855,75.12581441,1191.17425412,657.60093174,689.24433941,1158.43969446,1245.73185354,987.89263866,503.31204057,68.14244168,896.96330629,1163.89545441,72.77983763,1018.40852261,573.49129929,1025.2464084,874.24915906,77.61727812,31.27969034,45.62833899,2489.19047378,28.06079197,676.27781661,654.07287364,37.9175316,1262.60833763,71.72505738,61.01358202,832.91268456,90.82021718,42.40944062,45.75564005,336.80224712,67.10584729,663.78412634,144.06843422,70.94306512,47.1923235,23.55069709,136.1030247,216.22995239,576.49196726,421.93028809,118.29906142,50.62945227,41.59107663,54.1938821,1875.98124211,382.95797623,65.30544651,38.66315213,113.46162094,155.48915836,43.91886754,87.07392868,699.6102833,655.90964616,116.88056384,787.44801837,47.33781043,74.01647655,82.87299353,423.54883021,141.04958038,994.93056899,1540.52474911
1517.39232695,171.3108622,191.11527079,49.97476107,124.02760936,1969.89305658,131.42925702,70.0883294,517.00599802,668.58519509,187.51446922,156.72579728,425.91299285,41.91842223,1402.34853563,125.48247868,590.67694311,71.48864111,142.48626383,52.88449971,112.57051348,75.81687733,1198.44860071,678.15096086,678.33281952,1194.81142741,1200.26718736,976.47191451,512.16855754,69.19722194,886.63373413,1121.15866819,72.8525811,1018.40852261,606.44408935,1030.32026515,874.24915906,76.99895866,30.37039701,46.77404857,2446.5446169,28.0971637,662.42018636,657.61911761,38.00846093,1237.36635497,70.90669339,59.61327031,800.1781249,89.49264892,41.90023636,44.80997499,325.5270099,68.37885795,661.96553969,143.05002569,70.27018806,46.46488884,22.87782003,137.44877882,209.31932313,600.13359368,428.16804029,118.13538862,50.08387627,42.24576782,53.6483061,1944.50558698,386.94068099,64.81442812,38.3539924,112.95241668,158.58075566,44.28258487,86.36467989,685.60716611,637.72377968,115.29839345,745.62052548,47.0286507,73.19811256,83.05485219,431.91432878,141.68608571,1008.89731444,1533.43226118
1503.22553697,169.36497448,190.56969479,48.62900695,124.02760936,1911.0799644,130.86549515,73.28904189,506.53093893,675.58675368,185.00481965,156.76216902,422.82139555,43.10050355,1392.8191416,122.20902271,581.9477272,72.07058884,139.61289693,54.06658103,112.93423081,74.41656562,1196.63001406,674.69564623,680.15140617,1172.98838764,1236.63892031,965.94229783,496.58326997,69.06992087,879.23208647,1109.33785498,73.25267016,980.21820301,587.74901861,979.63625528,872.61243107,76.72617066,30.55225568,45.71926832,2427.30397017,27.87893331,642.50666257,654.07287364,37.9175316,1203.68613025,70.90669339,58.90402151,763.80639195,87.27397321,40.88182784,44.57355873,333.34693249,68.19699928,649.23543316,143.72290275,69.9792142,46.24665845,22.55047443,137.35784949,211.86534443,587.40348715,425.05825712,117.97171582,50.81131093,42.08209502,53.63012024,1828.86166207,375.46539925,64.37796732,38.3539924,112.60688521,160.9449183,43.40966328,85.78273216,693.79080603,644.52529374,115.29839345,741.98335218,46.71949097,71.83417258,79.98144076,426.09485151,140.72223478,949.53864626,1560.03818383
1507.49921559,174.2387867,189.67858734,48.46533416,122.75459871,1902.91451036,130.95642449,73.28904189,517.00599802,669.45811668,186.78703457,152.67034906,417.3656356,42.10028089,1424.89901006,122.48181071,599.22430035,71.32496832,140.32214572,53.19365944,114.0253828,73.47090056,1198.44860071,661.05624637,685.24344878,1145.70958793,1291.19651973,984.91015656,501.54801152,69.3790806,864.46516289,1163.89545441,72.03421711,1009.31558937,607.3351968,962.75977119,874.24915906,76.81709999,30.64318501,46.41033124,2399.78875419,28.4790669,650.29021342,652.29065873,37.00823828,1220.52624261,69.19722194,59.86787244,797.45024493,90.02003905,40.82727024,44.91909019,331.89206317,68.19699928,663.78412634,137.24873429,70.68846299,47.21050937,22.36861576,137.30329189,212.77463776,591.94995376,425.05825712,119.28109821,50.92042613,45.79201178,54.1938821,1781.7602679,371.79185422,64.63256945,37.9175316,112.78874388,163.67279828,44.97364779,85.63724523,696.518686,647.92605078,112.67962868,756.53204536,46.51944644,72.01603124,80.99984928,423.91254753,138.32170041,953.03033263,1577.75121778
1489.05874698,172.36564245,186.96889323,50.30210667,123.66389203,1915.99014835,128.62863358,68.16062755,505.65801734,659.83779332,190.20597746,148.5785291,409.18199569,40.91819957,1417.95200906,122.00897818,591.94995376,70.25200219,137.48515055,49.50192855,112.75237215,71.63412805,1188.99195014,638.32391328,681.96999282,1127.52372146,1256.64337343,1008.07895045,493.56441613,69.34270887,864.46516289,1116.61220157,72.19788991,1010.22488269,600.20633714,937.40867333,867.70224713,76.54431199,30.91597301,46.93772137,2337.90225057,26.47862159,640.77900525,659.40133252,35.37151029,1254.20646732,70.99762272,59.08588018,783.81084508,89.71087932,42.57311342,44.17346967,321.52611928,66.37841263,665.60271299,136.39399856,68.94261981,47.01046484,22.09582777,135.52107697,210.04675779,575.40081527,409.41841195,119.11742541,52.42985305,45.64652485,53.95746583,1807.45689723,363.00808071,63.34137293,37.84478813,117.02605077,159.21726099,44.97364779,85.8736615,689.24433941,646.05290653,117.91715822,751.07628542,45.13732059,71.92510191,79.98144076,396.27003049,135.43014764,973.98045081,1560.03818383
1497.26057276,172.36564245,186.96889323,51.24777173,125.11876135,1935.59451241,128.71956291,66.21473984,506.53093893,647.58051931,193.02478677,146.57808379,412.81916898,40.37262357,1443.95779812,122.86371391,615.59158018,69.68824033,138.17621348,49.17458295,114.2981708,71.72505738,1174.80697429,671.78590759,690.69920872,1127.52372146,1273.01065326,1020.37259619,505.25792828,70.77939232,865.93821808,1118.43078822,75.05307094,1017.49922928,623.35694517,932.35300245,866.88388314,76.28970986,31.734337,47.71971363,2204.50891998,25.95123146,641.81559964,652.29065873,35.82615696,1220.52624261,71.41589765,59.10406604,791.08519167,89.27441853,44.60993046,44.3735142,313.7061967,67.28770596,663.78412634,137.06687562,69.4881958,47.61059843,22.1867571,136.79408763,211.13790978,581.9477272,421.93028809,121.89986298,52.68445518,45.13732059,53.50281917,1875.98124211,356.95218717,62.50482307,37.84478813,115.49843798,163.67279828,45.21006406,86.40105162,711.9766725,657.61911761,119.66300141,775.62720516,45.17369232,74.01647655,79.3085637,400.08906245,139.12187853,970.48876444,1613.21365741
1506.69903746,172.52931525,181.58587675,50.46577947,123.5729627,1930.68432846,129.35606824,64.94172918,501.29340939,616.08259858,194.80700168,146.97817285,408.27270237,39.28147159,1459.56127156,124.35495496,615.59158018,70.88850752,138.17621348,50.35666427,112.38865482,72.4161203,1163.89545441,680.69698216,696.88240333,1089.33340186,1243.9132669,1026.51941905,508.62231358,70.79757819,860.02781147,1131.16089475,75.45316001,1005.67841607,632.26801974,928.97043128,906.11079712,77.89006611,31.37061967,47.55604083,2276.67043815,25.86030213,649.78100916,655.83690269,35.91708629,1186.86420376,74.83484055,59.24955298,771.08073854,88.40149694,45.08276299,45.15550646,314.97920735,67.10584729,654.6911931,134.68452711,70.12470113,48.73812215,21.82303977,139.79475559,210.04675779,583.76631385,420.36630357,121.17242832,54.81220156,46.17391498,53.3755181,1858.85015589,357.46139143,63.39593053,38.20850546,116.8441921,157.30774501,46.19210085,87.98322201,729.25324565,665.43904019,116.69870517,746.5298188,47.48329737,73.65275922,79.3085637,404.9992464,137.03050389,953.03033263,1577.75121778
1516.84675096,171.80188059,183.38627753,48.66537869,124.02760936,1969.89305658,129.71978557,66.86943103,503.03925257,614.68228686,194.35235502,146.75994245,436.4607954,40.19076491,1463.03477206,125.13694722,616.50087351,70.88850752,136.86683109,49.68378721,114.57095879,71.88873018,1155.71181449,680.33326483,703.79303259,1085.69622856,1282.10358649,1031.44778887,520.15215292,71.03399445,857.06351524,1155.71181449,79.0357757,1009.31558937,637.61466448,920.53218924,905.29243313,79.65409516,31.00690234,47.81064296,2340.79380334,26.91508238,639.90608366,648.7262289,35.55336896,1212.10618643,76.79891412,60.92265269,754.71345872,87.81954921,44.95546193,45.64652485,322.4354126,66.65120063,654.6911931,132.30217861,70.57934779,49.39281335,22.00489843,141.57697051,208.22817114,584.31188985,420.36630357,119.60844381,53.44826157,46.26484431,53.35733224,1807.45689723,359.57095195,63.72327613,39.24509985,116.71689104,158.398897,49.19276882,91.47490837,740.8922002,670.71294147,117.04423663,738.70989622,47.53785497,72.7434659,79.16307677,410.09128901,138.15802761,953.03033263,1590.17216458
1514.31891552,169.36497448,182.47698421,47.97431576,121.29972939,1971.52978457,129.35606824,66.86943103,511.76846848,626.57584353,192.5701401,147.03273045,451.91878191,42.51855582,1469.96358718,124.93690268,620.1380468,70.28837393,135.28466071,50.19299147,114.66188813,72.03421711,1144.80029461,696.15496867,705.61161923,1072.96612203,1273.01065326,1022.13662523,519.97029426,71.50682698,857.06351524,1151.16534787,79.76321036,1072.6024047,646.52573906,911.23921147,903.65570515,78.05373891,31.188761,46.24665845,2247.80946806,27.09694105,637.14183196,636.28709623,36.09894495,1195.28425994,76.03510773,60.64986469,761.98780531,88.92888706,45.06457713,45.51922379,317.88894598,66.10562464,652.87260646,129.73797143,71.17948138,47.91975816,21.9139691,141.39511184,216.22995239,601.95218033,418.0203268,118.13538862,55.12136129,46.95590724,52.21162265,1850.28461278,358.80714555,63.28681533,39.24509985,113.9708252,163.03629295,51.1022848,93.38442435,752.89487207,680.2423355,118.44454835,739.25547221,47.11958004,73.56182989,78.01736718,410.27314768,137.19417669,960.01370535,1568.89470081
1498.26079542,163.65461241,179.78547597,49.10183948,117.93534409,1919.26360432,128.01031412,70.72483472,508.27678211,625.70292194,184.25919913,148.76038777,441.91655535,41.82749289,1467.01747681,124.73685815,615.59158018,68.99717741,135.57563457,48.62900695,112.11586682,70.65209126,1103.88209504,691.60850205,696.15496867,1063.87318879,1264.82701334,1013.88024185,500.12951393,71.25222485,834.16750935,1125.70513481,80.99984928,1058.41742885,694.60917002,913.76704691,887.30661119,77.70820745,31.734337,44.84634673,2276.67043815,26.91508238,645.9619772,628.28531498,35.46243963,1170.02409141,73.56182989,61.50460042,765.6249786,88.6924708,45.02820539,46.01024218,317.88894598,65.46911931,651.05401981,136.0484671,69.8155414,45.37373686,22.4595451,141.04958038,220.04898435,621.04734012,403.18065975,117.97171582,55.12136129,47.88338643,50.92042613,1850.28461278,355.27908746,63.0867708,39.53607372,112.78874388,161.85421163,49.82927414,93.00252115,737.43688557,673.42263557,117.04423663,759.25992534,46.91953551,72.6889083,76.67161306,418.45678759,134.62996952,939.08177304,1586.62592062
