index,security_1,security_2,security_3,security_4,security_5,security_6,security_7,security_8,security_9,security_10,security_11,security_12,security_13,security_14,security_15,security_16,security_17,security_18,security_19,security_20,security_21,security_22,security_23,security_24,security_25,security_26,security_27,security_28,security_29,security_30,security_31,security_32,security_33,security_34,security_35,security_36,security_37,security_38,security_39,security_40,security_41,security_42,security_43,security_44,security_45,security_46,security_47,security_48,security_49,security_50,security_51,security_52,security_53,security_54,security_55,security_56,security_57,security_58,security_59,security_60,security_61,security_62,security_63,security_64,security_65,security_66,security_67,security_68,security_69,security_70,security_71,security_72,security_73,security_74,security_75,security_76,security_77,security_78,security_79,security_80,security_81,security_82,security_83,security_84,security_85,security_86,security_87,security_88,security_89
4085.7824956,343.65798673,358.80764276,539.00881445,558.86283735,381.13345164,1093.90084723,513.4936043,521.19600837,580.47103095,595.11038278,379.69822107,125.98135012,350.83413959,467.00808081,906.89030382,432.16387194,505.50415412,1245.46119553,382.72815228,429.2934108,738.34639376,377.68889827,342.86063641,633.09615189,180.2011717,186.57997423,686.64619919,280.66731167,181.39719717,837.2178331,424.19036877,484.78899288,473.62608844,309.49949914,741.45606,1011.05614927,282.59689944,110.03434378,296.61431801,371.56524783,421.0009675,438.54267448,351.3763378,114.81844568,578.65307223,583.66043222,698.49482491,481.59959161,359.06279486,364.75587612,238.67884396,667.66926164,1039.74481368,923.33166736,412.62878917,733.56229186,880.27475023,1014.4050206,385.91755354,501.26225044,763.86160392,575.68692905,688.9106741,385.91755354,217.56500756,572.49752778,534.22471255,481.59959161,193.48502798,431.89277284,609.17564237,61.47570946,462.463184,940.87337434,479.31916971,495.95189732,506.31745145,406.10646358,703.26297981,436.94797385,625.12264872,862.41410313,684.12657219,184.9852736,359.1584769,624.00635827,466.84861074,1500.61329705,231.55053213
4039.5361772,341.26593578,352.42884022,527.84591001,558.86283735,376.34934974,1086.02302609,498.34394827,549.21489851,581.53948038,582.54414178,379.69822107,121.19724822,354.82089117,455.98869942,894.54732091,414.62216496,521.45116047,1235.89299172,371.56524783,436.94797385,714.42588425,370.09812325,339.67123514,617.14914554,184.9852736,186.57997423,685.11528659,282.2620123,175.81574495,834.02843183,417.81156623,499.93864891,507.11480176,315.60720257,725.8758348,1015.77646314,278.72177689,107.64229283,298.20901865,369.9705472,443.32677639,428.17712036,345.98624966,117.21049663,573.99654637,613.95974427,713.70826896,479.20754066,356.51127384,322.56009734,234.94724448,670.73108686,1052.50241876,864.32774389,409.56696395,685.72127283,859.54364198,1041.06841521,379.53875101,501.26225044,731.96759123,590.03923476,696.88417727,406.64866179,233.09739174,572.49752778,532.63001192,467.2472859,190.29562671,431.89277284,598.01273793,56.91486564,446.51617765,937.68397307,477.53310499,507.11480176,498.34394827,398.38811251,674.55836838,443.32677639,621.93324745,808.13049353,682.53187156,177.01177043,352.10990009,631.72470934,462.06450884,1508.58680022,230.91265187
3948.47877097,325.31892943,325.31892943,515.08830494,526.84124861,357.21294212,1090.74333997,502.33069986,521.19600837,582.06573159,550.36308297,372.66559127,116.73208644,345.25268736,465.42932718,866.79952987,387.51225418,507.09885476,1253.4346987,341.26593578,430.56917131,712.0338333,383.38197954,334.88713324,577.28162968,181.79587233,188.17467487,691.191096,272.6938085,176.61309527,819.67612612,419.40626687,495.15454701,535.81941319,280.53973562,696.27819103,974.84049786,275.94699779,106.04759219,293.42491674,360.40234339,414.62216496,409.83806306,344.45533705,120.3998979,560.04291582,613.95974427,626.97250145,478.41019034,353.95975283,325.57408154,237.08414333,670.73108686,1047.71831685,859.54364198,380.5274654,672.96366775,910.57406229,986.16287236,365.1864453,499.6675498,714.42588425,537.41411382,666.58486521,385.91755354,224.54979634,558.14522207,507.11480176,424.19036877,182.32212354,429.67613895,558.14522207,56.16535635,435.35327321,904.19525975,474.20018067,475.22078907,512.69625399,390.66976143,668.17956585,454.48968083,605.9862411,750.73721769,676.15306902,173.82236916,338.42736865,613.97569128,449.30690376,1473.50338626,231.55053213
3917.54157866,332.49508229,302.99312055,513.4936043,511.62780456,342.86063641,1062.37361568,481.59959161,533.65062032,590.03923476,535.43668503,367.97717141,120.55936797,329.30568102,483.51323237,846.73819589,390.70165545,479.98894397,1218.35128474,320.53482753,411.4327637,692.10007536,388.13418743,333.29243261,621.93324745,200.93227994,199.33757931,671.48059616,279.07261103,177.41044559,779.80861026,417.81156623,520.66975716,478.41019034,307.98453354,680.71391283,957.50610196,268.19675271,103.65554124,287.04611421,346.05003768,409.83806306,409.04071274,339.0652489,123.58929917,549.1830045,617.14914554,636.09418908,428.97447067,355.23551334,305.97521074,236.54194511,676.83879029,1028.58190924,842.00193501,378.99655279,642.6643557,905.78996038,963.40649431,360.40234339,501.26225044,688.9106741,527.84591001,645.85375696,385.91755354,240.86358383,526.25120938,503.9254005,438.54267448,180.2011717,429.67613895,543.79291636,51.60451253,437.74532416,889.84295404,459.38541177,472.03138781,546.98231763,384.48232297,642.6643557,441.73207575,607.58094174,722.81400958,666.58486521,169.03826725,343.11578851,604.69453359,456.08438146,1459.15108055,233.46417289
3903.66768314,322.12952816,312.56132436,505.52010113,517.22520379,346.05003768,1002.47665985,460.86848336,536.76028656,578.35007911,537.01543866,364.07015485,117.05102657,315.75072563,500.01838394,840.56670443,410.63541338,475.20484207,1248.6505968,328.5083307,412.07064395,700.07357854,383.38197954,336.48183388,610.77034301,192.16142645,189.7693755,689.6761304,261.53090405,175.41706979,849.97543818,406.64866179,516.68300557,476.81548971,297.31598629,677.58829959,966.96267672,277.60548645,105.25024188,285.45141357,352.42884022,430.56917131,409.83806306,330.61333554,110.03434378,583.30959808,679.34247029,620.88074503,421.79831782,341.20214775,280.34837154,234.42099327,664.60743643,1020.60840607,853.16483945,385.12020323,636.28555316,899.41115785,979.09834855,357.21294212,485.31524409,674.55836838,513.4936043,629.90675062,350.83413959,240.86358383,518.27770621,504.72275081,428.97447067,176.48551922,426.35916163,551.76641953,50.83905623,442.52942607,920.14226609,450.74213434,446.51617765,531.8326616,392.20067404,642.6643557,433.75857258,621.93324745,744.53383223,660.20606267,167.44356662,330.59738853,607.02279651,448.50955345,1444.79877484,213.05200477
3799.69320177,317.34542626,306.18252182,495.95189732,486.79831568,302.99312055,975.68568919,436.94797385,528.97814746,568.7818753,521.30763741,342.19086215,111.31010429,312.56132436,474.86995494,837.48893221,385.91755354,476.7995427,1223.13538665,323.7242288,419.08732674,713.62853393,383.38197954,346.05003768,601.2021392,192.95877677,175.41706979,669.96563056,240.79979581,171.43031821,856.35424072,386.71490386,500.73599923,448.11087829,289.69331726,685.38638569,918.1488903,269.29709614,100.46613997,279.07261103,341.26593578,384.32285291,407.44601211,341.37756482,102.06084061,569.34002052,658.61136204,613.274023,414.62216496,338.01274648,253.22251375,234.42099327,640.1606757,1046.12361622,829.24432993,368.29611153,602.79683983,904.19525975,963.40649431,332.49508229,475.74704028,663.39546394,457.6790821,617.14914554,365.1864453,237.75391759,500.73599923,489.57309479,419.40626687,163.72791414,422.59566814,531.03531128,44.01373751,440.93472543,861.13834262,455.6857063,403.45926052,540.60351509,373.67025267,599.60743856,411.4327637,598.01273793,711.95409826,628.31204998,157.87536281,332.16019516,583.07039298,442.13075091,1441.60937357,203.48380096
4102.52685226,334.88713324,354.02354085,539.80616477,605.30051983,376.34934974,1048.19672704,518.27770621,578.76470127,583.66043222,643.78064614,367.97717141,124.06770936,343.65798673,496.87682369,883.75119762,421.0009675,538.99286745,1247.05589616,371.56524783,468.84198654,751.90134916,420.39498126,356.41559181,631.50145125,204.12168121,204.12168121,709.37068324,267.90970659,187.77599971,875.49064833,398.67515862,537.41411382,451.30027956,292.73919547,711.85841623,996.87926063,285.92982376,130.76545203,293.42491674,373.15994847,424.19036877,450.50292924,352.90725041,111.62904441,601.91975448,690.50537473,652.83854574,434.5559229,362.25219613,259.25048215,247.17859834,693.64693498,1078.01762891,937.68397307,403.45926052,687.31597346,937.68397307,1026.17391128,384.32285291,480.00489098,720.80468678,521.46710747,701.66827917,409.83806306,259.52158126,548.57701826,534.22471255,470.43668717,185.51152481,437.44233104,663.39546394,47.80912502,468.04463622,955.22568005,496.43030751,495.95189732,566.11872524,430.8083764,615.55444491,470.43668717,655.42196077,822.08412408,644.25905633,178.60647106,340.37290342,651.03653403,451.30027956,1424.06766659,240.48085568
4207.77709414,342.86063641,347.64473832,553.36112016,606.89522046,403.45926052,1086.02302609,524.65650874,591.21931323,594.29708545,662.63000764,371.10278465,132.36015266,356.41559181,522.0411997,994.8061498,444.92147702,580.45508394,1256.62409997,363.59174466,483.51323237,749.50929821,430.84027042,352.42884022,626.71734935,226.4474901,210.50048375,700.28088962,274.28850913,186.57997423,936.08927244,413.02746433,592.43128571,475.22078907,326.27574981,718.09369571,1004.75708176,304.76323826,128.37340108,304.58782119,395.48575735,441.73207575,461.66583368,372.12339306,119.60254759,628.29610298,773.42980772,681.75046825,456.08438146,394.14620882,289.39032414,250.89425082,718.09369571,1084.39643145,974.36208767,430.96784647,708.04708171,948.84687752,1055.19746283,408.24336243,487.97839415,770.24040645,540.60351509,731.96759123,441.73207575,261.06844087,633.09615189,550.1717189,495.95189732,189.24312429,434.77918098,677.74776965,48.57458133,480.00489098,911.37141261,515.56671513,508.7095024,594.02598634,413.82481465,637.88025379,492.76249605,676.15306902,839.14742087,671.36896712,183.39057297,341.15430673,662.63000764,462.463184,1465.52988309,247.49753847
4214.79377693,349.23943895,349.23943895,583.66043222,608.5058681,413.02746433,1018.24824913,546.98231763,614.54978351,658.08511083,657.90969376,382.026484,132.04121253,366.78114593,548.76838234,1027.19451969,467.2472859,550.15577189,1149.77915746,365.1864453,463.10106425,754.29340011,427.98575628,340.46858546,641.06965506,231.231592,226.4474901,697.25095841,291.83021611,190.96540098,937.68397307,393.89105672,533.42736223,475.22078907,355.25146034,713.42122285,1022.07553065,304.76323826,127.57605076,306.18252182,411.4327637,449.70557892,463.26053432,387.51225418,122.79194885,659.32897733,787.78211343,700.00979051,457.6790821,403.07653237,321.04513173,246.65234713,716.5627831,1124.26394731,1003.06669909,415.67466738,717.61528552,956.82038069,1070.10791376,389.10695481,543.79291636,767.05100518,564.52402461,752.69869947,432.16387194,259.52158126,623.52794808,548.57701826,484.78899288,195.62192683,434.77918098,685.72127283,44.01373751,481.59959161,950.44157815,517.43251487,534.22471255,596.4180373,424.63688495,692.10007536,494.35719669,714.42588425,863.96096274,666.58486521,188.17467487,323.54881173,685.01960455,457.6790821,1479.8821888,237.92933466
4241.58474759,361.99704403,360.40234339,572.49752778,635.72740794,408.24336243,1027.70482389,538.21146414,614.54978351,676.67932023,683.04217576,382.80788731,128.21393101,357.21294212,544.82947177,991.72837758,443.32677639,538.99286745,1148.18445683,373.15994847,464.37682476,773.42980772,443.16730632,341.26593578,685.72127283,231.231592,223.25808883,716.96145826,290.23551548,188.97202519,944.06277561,430.56917131,542.19821572,475.22078907,330.85254064,729.00144805,1006.33583539,292.57972541,134.75220361,312.56132436,401.86455989,475.22078907,464.05788463,381.35670973,128.37340108,665.53236279,805.32382041,731.96759123,452.09762987,394.14620882,304.47619214,259.40995221,710.45507967,1138.61625302,964.79388386,447.77599116,747.91459757,995.09319592,1069.31056344,389.10695481,568.7818753,752.69869947,550.1717189,760.67220265,428.97447067,267.28777335,621.93324745,546.98231763,472.03138781,185.51152481,434.77918098,701.66827917,43.26422821,502.33069986,967.98328513,525.45385906,526.25120938,611.56769332,423.09002533,706.45238107,495.95189732,680.93717092,843.80394672,641.06965506,184.9852736,334.50440509,695.83167485,474.42343876,1446.39347547,238.56721492
